trade_id,ledger_mode,ticker,stock_name,market,scan_mode,run_id,priority_rank,decision,decision_bucket,recommended_at,base_trade_date,entry_model,entry_reference_price,operational_entry_price,buy_premium_pct,target_tp_pct,stop_sl_pct,hold_days,exit_day,exit_reason,trade_status,gross_return_pct,net_return_pct,scan_reference_return_path,buy_premium_adjusted_return_path,fee_bps,slippage_bps,relative_rank_score,loss_risk_score,relative_rank_model,source_scan_result_id,created_at,data_warnings
RUN-49862268|023160.KQ|2026-03-31|1.0,close_to_close_shadow_buy_premium_v2,023160.KQ,태광,KOSDAQ,SWING,RUN-49862268,1,WATCHLIST_ONLY,watchlist,2026-03-31T09:30:44.210812+00:00,2026-03-31,close_proxy,35000.0,35700.0,2.0,10.0,-10.0,3,3.0,TAKE_PROFIT_CLOSE_PROXY,CLOSED,10.0,10.0,"[{'day': 1, 'return_pct': 2.0}, {'day': 2, 'return_pct': 7.857143}, {'day': 3, 'return_pct': 18.142857}]","[{'day': 1, 'return_pct': 0.0}, {'day': 2, 'return_pct': 5.742297}, {'day': 3, 'return_pct': 15.82633}]",0.0,0.0,,,,29120,2026-06-29T08:31:42.445798+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-45B1BB3D|037230.KQ|2026-04-01|3.0,close_to_close_shadow_buy_premium_v2,037230.KQ,한국팩키지,KOSDAQ,SWING,RUN-45B1BB3D,3,WATCHLIST_ONLY,watchlist,2026-03-31T22:57:08.918837+00:00,2026-04-01,close_proxy,2655.0,2708.1,2.0,10.0,-10.0,3,3.0,TIME_EXIT,CLOSED,-4.914885,-4.914885,"[{'day': 1, 'return_pct': 2.259887}, {'day': 2, 'return_pct': -5.461394}, {'day': 3, 'return_pct': -3.013183}]","[{'day': 1, 'return_pct': 0.254791}, {'day': 2, 'return_pct': -7.315092}, {'day': 3, 'return_pct': -4.914885}]",0.0,0.0,,,,26653,2026-06-29T08:31:42.445823+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-45B1BB3D|052020.KQ|2026-04-01|5.0,close_to_close_shadow_buy_premium_v2,052020.KQ,에스티큐브,KOSDAQ,SWING,RUN-45B1BB3D,5,WATCHLIST_ONLY,watchlist,2026-03-31T22:57:08.918837+00:00,2026-04-01,close_proxy,17400.0,17748.0,2.0,10.0,-10.0,3,2.0,STOP_LOSS_CLOSE_PROXY,CLOSED,-10.0,-10.0,"[{'day': 1, 'return_pct': -7.298851}, {'day': 2, 'return_pct': -8.505747}, {'day': 3, 'return_pct': -12.471264}]","[{'day': 1, 'return_pct': -9.116521}, {'day': 2, 'return_pct': -10.299752}, {'day': 3, 'return_pct': -14.187514}]",0.0,0.0,,,,51505,2026-06-29T08:31:42.445841+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-C350332F|095340.KQ|2026-04-01|5.0,close_to_close_shadow_buy_premium_v2,095340.KQ,ISC,KOSDAQ,SWING,RUN-C350332F,5,PRIORITY_WATCHLIST,picked,2026-04-01T13:36:51.851665+00:00,2026-04-01,close_proxy,264000.0,269280.0,2.0,10.0,-10.0,3,1.0,STOP_LOSS_CLOSE_PROXY,CLOSED,-10.0,-10.0,"[{'day': 1, 'return_pct': -10.606061}, {'day': 2, 'return_pct': -10.227273}, {'day': 3, 'return_pct': -9.090909}]","[{'day': 1, 'return_pct': -12.358883}, {'day': 2, 'return_pct': -11.987523}, {'day': 3, 'return_pct': -10.87344}]",0.0,0.0,,,,697,2026-06-29T08:31:42.445858+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-5E363C3F|289080.KQ|2026-04-01|5.0,close_to_close_shadow_buy_premium_v2,289080.KQ,SV인베스트먼트,KOSDAQ,SWING,RUN-5E363C3F,5,WATCHLIST_ONLY,watchlist,2026-03-31T15:29:05.349439+00:00,2026-04-01,close_proxy,4130.0,4212.6,2.0,10.0,-10.0,3,1.0,STOP_LOSS_CLOSE_PROXY,CLOSED,-10.0,-10.0,"[{'day': 1, 'return_pct': -9.68523}, {'day': 2, 'return_pct': -9.927361}, {'day': 3, 'return_pct': -13.559322}]","[{'day': 1, 'return_pct': -11.456108}, {'day': 2, 'return_pct': -11.693491}, {'day': 3, 'return_pct': -15.254237}]",0.0,0.0,,,,74,2026-06-29T08:31:42.445873+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-B7CD42B3|052710.KQ|2026-04-02|1.0,close_to_close_shadow_buy_premium_v2,052710.KQ,아모텍,KOSDAQ,SWING,RUN-B7CD42B3,1,PRIORITY_WATCHLIST,picked,2026-04-01T16:03:31.246076+00:00,2026-04-02,close_proxy,14950.0,15249.0,2.0,10.0,-10.0,3,3.0,TIME_EXIT,CLOSED,-1.305004,-1.305004,"[{'day': 1, 'return_pct': 4.080268}, {'day': 2, 'return_pct': 8.227425}, {'day': 3, 'return_pct': 0.668896}]","[{'day': 1, 'return_pct': 2.039478}, {'day': 2, 'return_pct': 6.105319}, {'day': 3, 'return_pct': -1.305004}]",0.0,0.0,,,,40711,2026-06-29T08:31:42.445889+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-85AC94CD|052710.KQ|2026-04-02|1.0,close_to_close_shadow_buy_premium_v2,052710.KQ,아모텍,KOSDAQ,SWING,RUN-85AC94CD,1,PRIORITY_WATCHLIST,picked,2026-04-02T13:37:25.893301+00:00,2026-04-02,close_proxy,14950.0,15249.0,2.0,10.0,-10.0,3,3.0,TIME_EXIT,CLOSED,-1.305004,-1.305004,"[{'day': 1, 'return_pct': 4.080268}, {'day': 2, 'return_pct': 8.227425}, {'day': 3, 'return_pct': 0.668896}]","[{'day': 1, 'return_pct': 2.039478}, {'day': 2, 'return_pct': 6.105319}, {'day': 3, 'return_pct': -1.305004}]",0.0,0.0,,,,33118,2026-06-29T08:31:42.445907+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-BA1AEBE2|247540.KQ|2026-04-02|1.0,close_to_close_shadow_buy_premium_v2,247540.KQ,에코프로비엠,KOSDAQ,SWING,RUN-BA1AEBE2,1,WATCHLIST_ONLY,watchlist,2026-04-01T16:05:52.244865+00:00,2026-04-02,close_proxy,196900.0,200838.0,2.0,10.0,-10.0,3,3.0,TIME_EXIT,CLOSED,0.329619,0.329619,"[{'day': 1, 'return_pct': -2.18385}, {'day': 2, 'return_pct': 1.523616}, {'day': 3, 'return_pct': 2.336211}]","[{'day': 1, 'return_pct': -4.101814}, {'day': 2, 'return_pct': -0.467043}, {'day': 3, 'return_pct': 0.329619}]",0.0,0.0,,,,1679,2026-06-29T08:31:42.445922+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-1405A2AF|950160.KQ|2026-04-02|1.0,close_to_close_shadow_buy_premium_v2,950160.KQ,코오롱티슈진,KOSDAQ,SWING,RUN-1405A2AF,1,WATCHLIST_ONLY,watchlist,2026-04-01T16:03:30.672918+00:00,2026-04-02,close_proxy,100100.0,102102.0,2.0,10.0,-10.0,3,3.0,TIME_EXIT,CLOSED,-3.234021,-3.234021,"[{'day': 1, 'return_pct': 0.0999}, {'day': 2, 'return_pct': -1.398601}, {'day': 3, 'return_pct': -1.298701}]","[{'day': 1, 'return_pct': -1.862843}, {'day': 2, 'return_pct': -3.331962}, {'day': 3, 'return_pct': -3.234021}]",0.0,0.0,,,,2342,2026-06-29T08:31:42.445937+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-BA1AEBE2|086520.KQ|2026-04-02|2.0,close_to_close_shadow_buy_premium_v2,086520.KQ,에코프로,KOSDAQ,SWING,RUN-BA1AEBE2,2,WATCHLIST_ONLY,watchlist,2026-04-01T16:05:52.244865+00:00,2026-04-02,close_proxy,142400.0,145248.0,2.0,10.0,-10.0,3,3.0,TIME_EXIT,CLOSED,-0.308438,-0.308438,"[{'day': 1, 'return_pct': -0.632022}, {'day': 2, 'return_pct': 0.421348}, {'day': 3, 'return_pct': 1.685393}]","[{'day': 1, 'return_pct': -2.580414}, {'day': 2, 'return_pct': -1.547698}, {'day': 3, 'return_pct': -0.308438}]",0.0,0.0,,,,26691,2026-06-29T08:31:42.445952+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-85AC94CD|289080.KQ|2026-04-02|2.0,close_to_close_shadow_buy_premium_v2,289080.KQ,SV인베스트먼트,KOSDAQ,SWING,RUN-85AC94CD,2,EXCEPTION_LEADER,exception_leader,2026-04-02T13:37:25.893301+00:00,2026-04-02,close_proxy,3730.0,3804.6,2.0,10.0,-10.0,3,3.0,TIME_EXIT,CLOSED,-5.77196,-5.77196,"[{'day': 1, 'return_pct': -0.268097}, {'day': 2, 'return_pct': -4.289544}, {'day': 3, 'return_pct': -3.887399}]","[{'day': 1, 'return_pct': -2.223625}, {'day': 2, 'return_pct': -6.16622}, {'day': 3, 'return_pct': -5.77196}]",0.0,0.0,,,,75082,2026-06-29T08:31:42.445967+00:00,['MISSING_RELATIVE_RANK_MODEL']
